role,first_name,last_name,email,created_at,avatar
Super Admin,Slow,Rick,slow.rick@example.com,2021-07-29 11:03:21,1.jpeg
Super Admin,Doofus,Rick,doofus.rick@example.com,2023-01-19 09:18:13,2.jpeg
Super Admin,President,Curtis,president.curtis@example.com,2023-11-18 17:54:54,3.jpeg
Super Admin,Frankenstien's,Monster,frankenstiens.monster@example.com,2023-08-31 09:08:37,4.jpeg
Super Admin,Reverse,Giraffe,reverse.giraffe@example.com,2022-12-27 18:01:30,5.jpeg
Admin,Crow,Scare,crow.scare6780@example.com,2024-11-16 04:47:41,6.jpeg
Admin,Tophat,Jones,tophat.jones717@example.com,2021-12-01 23:56:33,7.jpeg
Admin,Mrs,Sullivans,mrs.sullivans8294@example.com,2024-09-28 11:31:57,8.jpeg
Admin,Tammy,Guetermann,tammy.guetermann5758@example.com,2023-09-24 09:43:14,9.jpeg
Admin,Cult,Leader,cult.leader2365@example.com,2025-02-28 16:40:35,10.jpeg
Admin,Toby,Matthews,toby.matthews7709@example.com,2022-09-29 18:44:51,11.jpeg
Admin,Arbolian,Mentirososian,arbolian.mentirososian6053@example.com,2025-12-27 19:47:05,12.jpeg
Admin,Defiance,Doctor,defiance.doctor4473@example.com,2024-12-02 02:19:19,13.jpeg
Admin,Tinypersons,Advocacy,tinypersons.advocacy6585@example.com,2024-07-26 06:46:54,14.jpeg
Admin,SWAT,Officer,swat.officer9698@example.com,2023-06-19 01:26:59,15.jpeg
Admin,Hologram,Rick,hologram.rick4474@example.com,2024-11-30 15:26:17,16.jpeg
Staff,Tan,Rick,tan.rick331@example.com,2023-07-04 15:18:09,17.jpeg
Staff,Coach,Feratu,coach.feratu4101@example.com,2024-06-02 03:24:26,18.jpeg
Staff,Steven,Phillips,steven.phillips64@example.com,2025-06-09 06:43:29,19.jpeg
Staff,Mr,Meeseeks,mr.meeseeks7671@example.com,2025-10-11 16:23:26,20.jpeg
Staff,Blim,Blam,blim.blam6027@example.com,2023-09-16 15:46:18,21.jpeg
Staff,Blue,Diplomat,blue.diplomat3318@example.com,2026-02-26 05:04:53,22.jpeg
Staff,Gotron,Pilot,gotron.pilot7355@example.com,2024-12-15 10:44:09,23.jpeg
Staff,Retired,General,retired.general5260@example.com,2024-01-09 23:46:13,24.jpeg
Staff,Mr,Nimbus,mr.nimbus9700@example.com,2024-07-12 10:04:31,25.jpeg
Staff,Crystal,Poacher,crystal.poacher2586@example.com,2024-02-14 09:03:40,26.jpeg
Staff,Purge,Planet,purge.planet3376@example.com,2023-12-03 00:06:11,27.jpeg
Staff,Black,Rick,black.rick3954@example.com,2025-06-27 09:23:49,28.jpeg
Staff,Memory,Rick,memory.rick1497@example.com,2024-11-28 12:11:57,29.jpeg
Staff,Snake,Lincoln,snake.lincoln8362@example.com,2024-01-13 18:52:48,30.jpeg
Staff,Simple,Rick,simple.rick2313@example.com,2024-11-29 20:01:43,31.jpeg
Staff,Uncle,Steve,uncle.steve1901@example.com,2025-12-28 06:29:54,32.jpeg
Staff,Shmlony,Shmlicelli,shmlony.shmlicelli2598@example.com,2025-09-30 17:26:25,33.jpeg
Staff,SEAL,Team,seal.team4700@example.com,2025-12-15 06:11:49,34.jpeg
Staff,Secretary,Of,secretary.of8853@example.com,2025-04-15 17:10:24,35.jpeg
Staff,CHUD,King,chud.king4880@example.com,2024-11-29 13:46:34,36.jpeg
Staff,Gar,Gloonch,gar.gloonch8717@example.com,2024-04-12 03:09:04,37.jpeg
Staff,Japheths,Grandson,japheths.grandson3295@example.com,2022-07-09 00:00:02,38.jpeg
Staff,Rick,D716,rick.d7162905@example.com,2026-03-15 09:13:08,39.jpeg
Staff,Mike,Johnson,mike.johnson2551@example.com,2021-10-28 12:52:30,40.jpeg
Staff,Morty,Smith,morty.smith560@example.com,2024-09-19 14:08:34,41.jpeg
Staff,Angry,Glorzo,angry.glorzo906@example.com,2023-09-22 19:57:26,42.jpeg
Staff,JanMichael,Vincent,janmichael.vincent9006@example.com,2024-03-11 19:29:22,43.jpeg
Staff,Lighthouse,Keeper,lighthouse.keeper6369@example.com,2023-12-14 19:14:52,44.jpeg
Staff,Rat,Boss,rat.boss6071@example.com,2025-08-28 07:51:03,45.jpeg
Staff,Ron,Benson,ron.benson4364@example.com,2024-01-19 14:38:36,46.jpeg
Staff,Steve,Jobs,steve.jobs9906@example.com,2024-03-29 10:51:31,47.jpeg
Staff,Cronenberg,Morty,cronenberg.morty8016@example.com,2024-10-06 12:36:21,48.jpeg
Staff,The,Scientist,the.scientist1441@example.com,2025-12-06 07:01:15,49.jpeg
Staff,Crystal,Poacher,crystal.poacher1640@example.com,2024-05-20 15:45:04,50.jpeg
Staff,Shaved,Head,shaved.head2629@example.com,2024-01-28 10:51:30,51.jpeg
Staff,Unknown,Rick,unknown.rick7722@example.com,2024-08-29 02:11:51,52.jpeg
Staff,Talking,Cat,talking.cat404@example.com,2025-10-08 00:50:40,53.jpeg
Staff,Water,TinaTeer,water.tinateer5488@example.com,2024-06-17 06:42:33,54.jpeg
Staff,Public,Opinion,public.opinion7264@example.com,2025-08-01 04:10:46,55.jpeg
